"Partner Name",Email,"Primary Contact",Phone,Street,City,State,"Post Code",Country,"Currency Code","Partner Category",Workflow,Products,Enrolled,"In Progress"
"Australian Centre of English",info@ace.nsw.edu.au,,"61(0)2 8959 2717","2nd Floor, Hyde Park Plaza Building, 38 College Street, Darlinghurst",Sydney,"New South Wales",2000,Australia,AUD,Institution,"Australian Education",2,0,0
"Sydney College",admin@sydneycollege.nsw.edu.au,,61289592717,"38 College St",Darlinghurst,"New South Wales",2010,Australia,AUD,"Training Center","Australian Education",11,0,0
"Australian International College (AIC)",admin@aic.nsw.edu.au,,"+61(0)2 8057 0837","38 College Street",Sydney,"New South Wales",2010,Australia,AUD,College,"Australian Education",3,0,0
"Fusion College of Technology",admin@fusioncollege.edu.au,,+61278068110,"Level 5, 16-18 Wentworth Street,",Parramatta,NSW,2150,Australia,AUD,College,"Australian Education",11,0,0
"Ransford College",info@ransford.edu.au,,61296892173,"Suite 1-6 79, Paisley Street",Melbourne,Victoria,3011,Australia,AUD,College,"Australian Education",6,0,0
"Australian Institute of Technology and Commerce",info@aitc.nsw.edu.au,,"02 9211 4958","Level 6, 8 Quay Street, Haymarket",Sydney,"New South Wales",2000,Australia,AUD,Institution,"Australian Education",3,0,0
"Southern Academy of Higher Education",info@sahe.nsw.edu.au,,"(61) 2 9071 0177","Level 1, 191 Thomas St","Haymarket (Sydney)","New South Wales",2000,Australia,AUD,Institution,"Australian Education",3,2,0
"Australian Language Centre",info@alcc.edu.au,,"61 2 9264 5228","Level 1, 269 Church Street",Parramatta,"New South Wales",2150,Australia,AUD,Institution,"Australian Education",3,2,2
"Central Australian College (CAC)",admin@cac.edu.au,,"(03) 9687 4275","8-10 Cross street","West Footscray",Victoria,3012,Australia,AUD,Institution,"Australian Education",26,0,0
"Australian School of Accounting",info@asahe.edu.au,,"+612 9182 9030","Level 9/140 Elizabeth Street",Sydney,"New South Wales",2000,Australia,AUD,"High School","Australian Education",4,0,0
"Churchill Institute",info@churchill.nsw.edu.au,,"(02) 8856 2997","Level 1, 16-18 Wentworth Street",Parramatta,"New South Wales",2150,Australia,AUD,Institution,"Australian Education",4,2,2
"Skyline Higher Education Australia (SHEA)",admin@shea.edu.au,,"61 2 9096 3750","Level 3, 136 Chalmers Street","Surry Hills","New South Wales",2010,Australia,AUD,Institution,"Australian Education",1,0,0
"Yarra College Australia",info@yarracollege.vic.edu.au,,"+61 466 106256","Level 6, 190 Queen Street",Melbourne,Victoria,3000,Australia,AUD,College,"Australian Education",14,0,0
"Hillshire International College",info@hillshire.edu.au,,"02 7801 3845","Level 2, 16-18 Wentworth Street",Sydney,"New South Wales",2150,Australia,AUD,College,"Australian Education",9,1,1
"Daffodil International College",info@daffodil.edu.au,,+1300665737,"Unit 4 5-11 Noel St","SLACKS CREEK",Queensland,4127,Australia,AUD,College,"Australian Education",3,0,0
"Sydney Polytechnic Institute",info@spi.nsw.edu.au,,"61 2 90576409","Level 4,191 Thomas Street",Sydney,"New South Wales",2000,Australia,AUD,Institution,"Australian Education",4,2,2
"Australian City International College",info@acicollege.edu.au,,"+61 02 780 92811","Suite 1, Level 2, 17-21 Macquarie Street",Sydney,"New South Wales",2150,Australia,AUD,College,"Australian Education",16,0,0
"Australasia Technology Institute",info@atinstitue.edu.au,,"+02 9163 8977","Level 4/191 Thomas Street",Haymarket,"New South Wales",2000,Australia,AUD,Institution,"Australian Education",14,0,0
"Training Masters (TM)",admissions@tm.nsw.edu.au,,"(02) 8278 7722","Level 5 338 Pitt Street",Sydney,"New South Wales",2000,Australia,AUD,Institution,"Australian Education",9,0,0
"Lincoln Institute of Higher Education",admissions@lincolnau.nsw.edu.au,,"+612 9072 9950","Level 2, 191 Thomas Street",Sydney,"New South Wales",2000,Australia,AUD,Institution,"Australian Education",2,0,0
"Canterbury Business College",info@cbc.nsw.edu.au,,"(02) 9280 3733","Level 6,29 - 35 Bellevue Street","Surry Hills","New South Wales",2010,Australia,AUD,Institution,"Australian Education",12,6,3
