"Product Name","Product Category","Associated Partner",Fee,Branches,"Associated Workflow",Enrolled,"In Progress"
"English for Academic Purposes (EAP)",Course,"Training for Knowledge and Livelihood (TKL)","AUD 7,500.00","Parramatta Campus","Australian Education",0,0
"General English",Course,"Training for Knowledge and Livelihood (TKL)","AUD 23,960.00","Parramatta Campus","Australian Education",0,0
"Diploma in Exercise Science",Course,"Australian Catholic University (ACU)","AUD 0.00","Melbourne Campus,Brisbane Campus,Strathfield Campus,Blacktown Campus","Australian Education",0,0
"Master of Science (Environmental Consultancy and Conservation)",Course,"University of Technology Sydney (UTS)","AUD 69,696.00","UTS Campus","Australian Education",0,0
"Bachelor of Business",Course,"Macquarie University (MQ)","AUD 129,600.00","North Ryde Campus","Australian Education",0,0
"Graduate Certificate in Human and Community Services",Course,"The University of Sydney","AUD 24,750.00","Camperdown/Darlington Campus","Australian Education",0,0
"Master of Social Work (Qualifying)",Course,"The University of Sydney","AUD 99,000.00","Camperdown/Darlington Campus","Australian Education",0,0
"Diploma of Emergency Health Care","VET Course","Institute Of Science Management And Technology (ISMT)","AUD 0.00","Sydney Campus","Australian Education",1,1
"Master of Occupational Health and Safety",Course,"RMIT University (Royal Melbourne Institute of Technology University)","AUD 84,480.00","Melbourne City Campus","Australian Education",0,0
"Master of Research (Medicine, Health and Human Sciences)",Course,"Macquarie University (MQ)","AUD 0.00","North Ryde Campus","Australian Education",0,0
"Master of Research (Science and Engineering)",Course,"Macquarie University (MQ)","AUD 84,800.00","North Ryde Campus","Australian Education",0,0
"Master of Research (Business and Economics)",Course,"Macquarie University (MQ)","AUD 69,000.00","North Ryde Campus","Australian Education",0,0
"Master of Research (Arts)",Course,"Macquarie University (MQ)","AUD 74,200.00","North Ryde Campus","Australian Education",0,0
"IELTS Preparation (Intermediate to Upper Intermediate)",Course,"Australian Centre of English","AUD 2,600.00","Head Office","Australian Education",0,0
"General English (Elementary to Advanced)",Course,"Australian Centre of English","AUD 19,800.00","Head Office","Australian Education",0,0
"Master of Finance",Course,"Macquarie University (MQ)","AUD 43,200.00","North Ryde Campus","Australian Education",0,0
"BSB52415 Diploma of Marketing and Communication",Course,"Sydney College","AUD 0.00","Sydney College","Australian Education",0,0
"SIT60316 Advanced Diploma of Hospitality Management",Course,"Sydney College","AUD 0.00","Sydney College","Australian Education",0,0
"SIT50416 Diploma of Hospitality Management",Course,"Sydney College","AUD 0.00","Sydney College","Australian Education",0,0
"SIT40516 Certificate IV in Commercial Cookery",Course,"Sydney College","AUD 0.00","Sydney College","Australian Education",0,0
"HLT52015 Diploma of Remedial Massage",Course,"Sydney College","AUD 0.00","Sydney College","Australian Education",0,0
"HLT42015 Certificate IV in Massage Therapy",Course,"Sydney College","AUD 0.00","Sydney College","Australian Education",0,0
"BSB61315 Advanced Diploma of Marketing and Communication",Course,"Sydney College","AUD 0.00","Sydney College","Australian Education",0,0
"BSB61015 Advanced Diploma of Leadership and Management",Course,"Sydney College","AUD 0.00","Sydney College","Australian Education",0,0
"BSB51918 Diploma of Leadership and Management",Course,"Sydney College","AUD 0.00","Sydney College","Australian Education",0,0
"BSB40215 Certificate IV in Business",Course,"Sydney College","AUD 0.00","Sydney College","Australian Education",0,0
"BSB42415 Certificate IV in Marketing and Communication",Course,"Sydney College","AUD 0.00","Sydney College","Australian Education",0,0
"Advanced Diploma of Hospitality Management",Course,"Australian International College (AIC)","AUD 26,000.00","Darlinghurst Campus","Australian Education",0,0
"Certificate IV in Commercial Cookery",Course,"Australian International College (AIC)","AUD 26,000.00","Darlinghurst Campus","Australian Education",0,0
"Diploma of Hospitality Management",Course,"Australian International College (AIC)","AUD 26,000.00","Darlinghurst Campus","Australian Education",0,0
"Advanced Diploma of Accounting",Course,"Fusion College of Technology","AUD 15,550.00","Head Office","Australian Education",0,0
"Diploma of Information Technology",Course,"Fusion College of Technology","AUD 15,800.00","Head Office","Australian Education",0,0
"Advanced Diploma of Information Technology",Course,"Fusion College of Technology","AUD 16,050.00","Head Office","Australian Education",0,0
"Certificate IV in Kitchen Management",Course,"Fusion College of Technology","AUD 21,450.00","Head Office","Australian Education",0,0
"Diploma of Hospitality Management",Course,"Fusion College of Technology","AUD 26,850.00","Head Office","Australian Education",0,0
"Diploma of Community Services",Course,"Fusion College of Technology","AUD 18,700.00","Head Office","Australian Education",0,0
"Diploma of Leadership and Management",Course,"Fusion College of Technology","AUD 10,550.00","Head Office","Australian Education",0,0
